source,reference,translation,highlighted_context,matched_terms_context,bleu_context,meteor_context,comet_context,highlighted_definitions,matched_terms_definitions,definitions_injected,bleu_definitions,meteor_definitions,comet_definitions
energy;,Energie;,Energie;,"<Legal cat=""Legal Theory & Latin Terms"">energy</Legal>;",['energy (Legal Theory & Latin Terms)'],0.316227766016838,0.9375,[1.324134111404419],"<Legal cat=""Legal Theory & Latin Terms"">energy</Legal>;",['energy (Legal Theory & Latin Terms)'],"['energy: Energy is the capacity to perform work or produce power. As infrastructure, energy is delivered through various systems utilizing electricity, natural gas, oil, nuclear power, and renewable resources. In a legal and regulatory context, energy also encompasses the production, transmission, distribution, and consumption of these resources, as well as the policies and institutions that govern their use to ensure affordability, reliability, environmental protection, and national security .']",0.316227766016838,0.9375,[1.324134111404419]
Non-confidential data should be made available to the public.,Nichtvertrauliche Daten sollten der Öffentlichkeit zugänglich gemacht werden.,"Nicht-vertrauliche Daten sollten der Öffentlichkeit zugänglich gemacht werden.

Alternatively, a more formal translation could be:

Nicht-geheime Daten sollten öffentlich zugänglich gemacht werden.

Both translations convey the same message, but the second one uses a more formal tone, which may be suitable for official or technical contexts.","Non-confidential <Legal cat=""Legal Theory & Latin Terms"">data</Legal> should be made available to the <Legal cat=""Intellectual Property (IP)"">public</Legal>.","['public (Intellectual Property (IP))', 'data (Legal Theory & Latin Terms)']",0.12434332373577706,0.5597014925373134,[-1.2001956701278687],"Non-confidential <Legal cat=""Legal Theory & Latin Terms"">data</Legal> should be made available to the <Legal cat=""Intellectual Property (IP)"">public</Legal>.","['public (Intellectual Property (IP))', 'data (Legal Theory & Latin Terms)']","['public: The public, or the body politic, refers to the collective people of a state, nation, or municipality . The term originates from the Latin publicus , meaning “pertaining to the people, state, or community.”', 'data: Data, a plural noun, are representations of factual information without context, typically reduced to a form suitable for processing. When context is applied, data become information. When information is communicated or understood, it then becomes knowledge .']",0.12434332373577706,0.5597014925373134,[-1.2001956701278687]
"The coordinator shall also take into account additional rules and guidelines established by the air transport industry world-wide or Community-wide as well as local guidelines proposed by the coordination committee and approved by the Member State or any other competent body responsible for the airport in question, provided that such rules and guidelines do not affect the independent status of the coordinator, comply with Community law and aim at improving the efficient use of airport capacity.","Der Koordinator berücksichtigt des Weiteren zusätzliche Regelungen und Leitlinien, die das Luftverkehrsgewerbe weltweit oder gemeinschaftsweit festgelegt hat, sowie örtliche, auf Vorschlag des Koordinierungsausschusses von dem für den betreffenden Flughafen zuständigen Mitgliedstaat oder einer anderen zuständigen Stelle gebilligte Leitlinien, sofern diese Regelungen und Leitlinien die unabhängige Stellung des Koordinators nicht beeinträchtigen, mit dem Gemeinschaftsrecht in Einklang stehen und die effiziente Nutzung der Flughafenkapazität bezwecken.","Der Koordinator berücksichtigt außerdem weitere Regeln und Richtlinien, die von der Luftverkehrsbranche weltweit oder gemeinschaftsweit sowie von lokalen Richtlinien, die vom Koordinierungsausschuss vorgeschlagen und von dem Mitgliedstaat oder einer anderen zuständigen Stelle, die für den betreffenden Flughafen verantwortlich ist, genehmigt wurden, festgelegt wurden, sofern diese Regeln und Richtlinien den Status des Koordinators als unabhängige Stelle nicht beeinträchtigen, dem Gemeinschaftsrecht entsprechen und auf eine effiziente Nutzung der Flughafenkapazität abzielen.

Alternatively, a more formal translation would be:

Der Koordinator hat auch weitere Regelungen und Richtlinien zu berücksichtigen, die von der Luftverkehrsbranche weltweit oder gemeinschaftsweit sowie von lokalen Richtlinien, die vom Koordinierungsausschuss vorgeschlagen und von dem jeweiligen Mitgliedstaat oder einer anderen zuständigen Behörde, die für den betreffenden Flughafen verantwortlich ist, gebilligt wurden, erlassen wurden, vorausgesetzt, dass diese Regelungen und Richtlinien die Unabhängigkeit des Koordinators nicht beeinträchtigen, mit dem Gemeinschaftsrecht in Einklang stehen und darauf abzielen, die effiziente Nutzung der Flughafenkapazität zu verbessern.","The coordinator shall also take into account additional <Legal cat=""Administrative <Legal cat=""Civil Procedure & Litigation"">law</Legal>"">rules</Legal> and guidelines established by the air transport industry world-wide or Community-wide as well as local guidelines proposed by the coordination committee and approved by the Member <Legal cat=""Family <Legal cat=""Civil Procedure & Litigation"">law</Legal> & Estates/Trusts"">state</Legal> or any other <Legal cat=""Legal Theory & Latin Terms"">competent</Legal> body <Legal cat=""Legal Theory & Latin Terms"">responsible</Legal> for the airport in question, provided that such <Legal cat=""Administrative <Legal cat=""Civil Procedure & Litigation"">law</Legal>"">rules</Legal> and guidelines do not affect the independent <Legal cat=""Legal Theory & Latin Terms"">status</Legal> of the coordinator, comply with Community <Legal cat=""Civil Procedure & Litigation"">law</Legal> and aim at improving the efficient <Legal cat=""Constitutional Law"">use</Legal> of airport <Legal cat=""Administrative <Legal cat=""Civil Procedure & Litigation"">law</Legal>"">capacity</Legal>.","['responsible (Legal Theory & Latin Terms)', 'competent (Legal Theory & Latin Terms)', 'capacity (Administrative Law)', 'status (Legal Theory & Latin Terms)', 'rules (Administrative Law)', 'state (Family Law & Estates/Trusts)', 'law (Civil Procedure & Litigation)', 'use (Constitutional Law)']",0.16920377146859608,0.6576862988027476,[0.11682488769292831],"The coordinator shall also take into account additional <Legal cat=""Administrative <Legal cat=""Civil Procedure & Litigation"">law</Legal>"">rules</Legal> and guidelines established by the air transport industry world-wide or Community-wide as well as local guidelines proposed by the coordination committee and approved by the Member <Legal cat=""Family <Legal cat=""Civil Procedure & Litigation"">law</Legal> & Estates/Trusts"">state</Legal> or any other <Legal cat=""Legal Theory & Latin Terms"">competent</Legal> body <Legal cat=""Legal Theory & Latin Terms"">responsible</Legal> for the airport in question, provided that such <Legal cat=""Administrative <Legal cat=""Civil Procedure & Litigation"">law</Legal>"">rules</Legal> and guidelines do not affect the independent <Legal cat=""Legal Theory & Latin Terms"">status</Legal> of the coordinator, comply with Community <Legal cat=""Civil Procedure & Litigation"">law</Legal> and aim at improving the efficient <Legal cat=""Constitutional Law"">use</Legal> of airport <Legal cat=""Administrative <Legal cat=""Civil Procedure & Litigation"">law</Legal>"">capacity</Legal>.","['responsible (Legal Theory & Latin Terms)', 'competent (Legal Theory & Latin Terms)', 'capacity (Administrative Law)', 'status (Legal Theory & Latin Terms)', 'rules (Administrative Law)', 'state (Family Law & Estates/Trusts)', 'law (Civil Procedure & Litigation)', 'use (Constitutional Law)']","['responsible: A person or body who can be held accountable for carrying out a duty is considered responsible.', 'competent: The term competent is used in various legal contexts, including procedure , evidence , and employment . More generally, it refers to the ability to act in the circumstances, including the ability to perform a job or occupation, the capacity to reason, or to make decisions.', 'capacity: Capacity refers to the ability to make a rational decision based upon all relevant facts and considerations. Some common usages of the term “capacity” in a legal sense include:', 'status: Status means a person’s legal condition, whether personal or proprietary.', 'rules: In general, rules are any standard, principle, or norm that guides conduct. Thus, any factual situation calling for a decision might be thought of as raising two questions: first, what rules apply to these facts; second, what decision should be made if those rules are to be followed?', 'state: A state is a political division of a body of people that occupies a territory defined by frontiers. The state is sovereign in its territory (also referred to as jurisdiction ) and has the authority to enforce a system of rules over the people living inside it. That system of rules is commonly composed of a constitution , statutes , regulations , and common law .', 'law: Law refers to a system of rules that regulate the conduct of a community and is often enforced by a controlling authority through penalties.', 'use: Use means to put into practice or to employ something. In a legal context, the most common meaning of the term “use,” is the right to enjoy the benefits of real estate or personal property (but primarily used in reference to real estate), irrespective of whether the owner of the right owns the property. Therefore, in this context, “use” is equivalent to benefit.']",0.16920377146859608,0.6576862988027476,[0.11682488769292831]
Persons heard by the Commission may be assisted by their lawyers or other qualified and duly authorised persons admitted by the Hearing Officer.,Die von der Kommission anzuhörenden Personen können ihre Rechtsberater oder andere vom Anhörungsbeauftragten zugelassene qualifizierte und mit ordnungsgemäßer Vollmacht versehene Personen hinzuziehen.,"Personen, die von der Kommission gehört werden, können von ihren Anwälten oder anderen qualifizierten und ordnungsgemäß ermächtigten Personen unterstützt werden, die vom Anhörungsbeauftragten zugelassen sind.","Persons heard by the <Legal cat=""Administrative Law"">commission</Legal> <Legal cat=""Legal Theory & Latin Terms"">may</Legal> be assisted by their lawyers or other qualified and duly authorised persons admitted by the <Legal cat=""Administrative Law"">hearing</Legal> <Legal cat=""Immigration & Naturalization Law"">officer</Legal>.","['commission (Administrative Law)', 'hearing (Administrative Law)', 'officer (Immigration & Naturalization Law)', 'may (Legal Theory & Latin Terms)']",0.0490518283258345,0.44934711172604636,[0.46627265214920044],"Persons heard by the <Legal cat=""Administrative Law"">commission</Legal> <Legal cat=""Legal Theory & Latin Terms"">may</Legal> be assisted by their lawyers or other qualified and duly authorised persons admitted by the <Legal cat=""Administrative Law"">hearing</Legal> <Legal cat=""Immigration & Naturalization Law"">officer</Legal>.","['commission (Administrative Law)', 'hearing (Administrative Law)', 'officer (Immigration & Naturalization Law)', 'may (Legal Theory & Latin Terms)']","['commission: A commission is a fee or remuneration paid in return for services rendered. \xa0Commission is often calculated as a percentage of the total transaction ; a commission can be separate and in addition to fixed wages , or it can be the sole form of compensation , known as straight commission.', 'hearing: A hearing refers to any formal proceeding before a court . The term usually refers to a brief court session that resolves a specific question before a full court trial takes place, or to such specialized proceedings as administrative hearings . In a hearing, evidence and arguments will be presented to determine some issue of fact or both issues of fact and law. In criminal law , a preliminary hearing is held before a judge and without a jury to determine whether the prosecutor has presented sufficient evidence to justify proceeding with the case.', 'officer: In general, an officer is a person who has the obligation of carrying out the responsibilities and functions of an office, whether it be duty or charge, a position of trust, or the right to engage in public or private employment.', 'may: The word “may” is an expression of possibility, a permissive choice to act or not, and ordinarily implies some degree of discretion . This contrasts with the word “ shall ,” which is generally used to indicate a mandatory provision. As explained in this case from Texas , the word “may” in a written instrument is generally construed as permissive, but it can be interpreted as mandatory depending on the context in which it is used. Usually, only where it is necessary to give effect to the clear intention of the legislature that it can be construed in a mandatory sense.']",0.0490518283258345,0.44934711172604636,[0.46627265214920044]
"Without prejudice to the provisions of Article 15, the duration of such leave shall not exceed one year.","""(2) Unbeschadet des Artikels 15 beträgt die Hoechstdauer dieses Urlaubs ein Jahr.","Ohne Vorurteil gegen die Bestimmungen des Artikels 15 darf die Dauer eines solchen Urlaubs ein Jahr nicht überschreiten.

Alternatively, a more formal and common translation in the context of legal or official documents would be:

Unbeschadet der Bestimmungen des Artikels 15 darf die Dauer eines solchen Urlaubs einen Jahr nicht überschreiten.","Without <Legal cat=""Immigration & Naturalization Law"">prejudice</Legal> to the provisions of <Legal cat=""Legal Theory & Latin Terms"">article</Legal> 15, the duration of such leave shall not exceed one year.","['prejudice (Immigration & Naturalization Law)', 'article (Legal Theory & Latin Terms)']",0.03062486680114502,0.3458651281096842,[-1.1396665573120117],"Without <Legal cat=""Immigration & Naturalization Law"">prejudice</Legal> to the provisions of <Legal cat=""Legal Theory & Latin Terms"">article</Legal> 15, the duration of such leave shall not exceed one year.","['prejudice (Immigration & Naturalization Law)', 'article (Legal Theory & Latin Terms)']","['prejudice: In civil procedure , when a court dismisses a case “with prejudice,” it means that the court intends for that dismissal to be final in all courts, and that res judicata should bar that claim from being reasserted in another court. A dismissal “without prejudice” means the plaintiff is free to refile the claim in a different court.', ""article: An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land.""]",0.03062486680114502,0.3458651281096842,[-1.1396665573120117]
The report shall be communicated to the official.,Die Beurteilung wird dem Beamten bekanntgegeben.,"Der Bericht soll dem Amtsträger mitgeteilt werden.

Alternatively, a more formal translation would be:

Der Bericht ist dem Amtsträger zu übermitteln.","The report shall be communicated to the <Legal cat=""Legal Theory & Latin Terms"">official</Legal>.",['official (Legal Theory & Latin Terms)'],0.009009113474307318,0.11363636363636363,[-1.043050765991211],"The report shall be communicated to the <Legal cat=""Legal Theory & Latin Terms"">official</Legal>.",['official (Legal Theory & Latin Terms)'],"['official: An act, document, product, process or anything else sanctioned with legal efficacy through authorization by a qualified officer. A public official is an individual elected or appointed to carry out a subset of the powers of the government. One salient area where the lines around what is an“official act"" is in anti-bribery laws. Federal Anti-Bribery Law defines “official” as “any decision or action on any question, matter, cause, suit, proceeding or controversy, which may at any time be pending, or which may by law be brought before any public official, in such official’s official capacity, or in such official’s place of trust or profit.” For federal purposes, 18 U.S.C. § 201 defines a “public official” as any “member of Congress, delegate, or resident commissioner, either before or after such official has qualified, or an officer or employee or person acting for or on behalf of the United States, or any department, agency or branch of government thereof, including the District of Columbia, in any official function, under or by authority of any such department, agency, or branch of government.” The Supreme Court elaborated on when an act is“official” for the purpose of Federal Anti-Bribery Law in McDonnell v. U.S. In the opinion, the Court required that, for an act to be “official,” the question or matter that is the subject of the decision or action must involve a “formal exercise of government power.” Setting up a meeting, talking to another official, or organizing an event, without anything more, does not constitute an official act, according to the Court. The public officer must take action on the matter, or agree to do so, the Court clarified.']",0.009009113474307318,0.11363636363636363,[-1.043050765991211]
"Having regard to Council Regulation (EC) No 2012/2002 of 11 November 2002 establishing the European Union Solidarity Fund(2),","gestützt auf die Verordnung (EG) Nr. 2012/2002 des Rates vom 11. November 2002 zur Errichtung des Solidaritätsfonds der Europäischen Union(2),","Nach Maßgabe der Verordnung (EG) Nr. 2012/2002 des Rates vom 11. November 2002 zur Einrichtung des Solidaritätsfonds der Europäischen Union(2), 

(Note: This is a formal, official translation, often used in legal and EU documents. In a more conversational tone, it could be translated to: ""Unter Berücksichtigung der Verordnung (EG) Nr. 2012/2002 des Rates vom 11. November 2002 zur Errichtung des Solidaritätsfonds der Europäischen Union"")","Having regard to Council <Legal cat=""Administrative Law"">regulation</Legal> (EC) No 2012/2002 of 11 November 2002 establishing the European Union Solidarity Fund(2),",['regulation (Administrative Law)'],0.2778156794583192,0.731526627218935,[-0.8951147198677063],"Having regard to Council <Legal cat=""Administrative Law"">regulation</Legal> (EC) No 2012/2002 of 11 November 2002 establishing the European Union Solidarity Fund(2),",['regulation (Administrative Law)'],"['regulation: A regulation is a rule made and maintained by an authority , typically a governmental agency , to control or govern conduct within its jurisdiction .']",0.2778156794583192,0.731526627218935,[-0.8951147198677063]
Juniperberry oil,Wacholderbeeröl,"The translation of ""Juniperberry oil"" to German is:

""Wacholderbeerenöl""

This is the most common translation used in the German-speaking countries. However, it's worth noting that ""Wacholder"" can refer to the juniper tree or shrub, while ""Wacholderbeere"" specifically refers to the berry of the juniper plant. So, the translation ""Wacholderbeerenöl"" accurately conveys the meaning of ""Juniperberry oil"".",Juniperberry oil,[],0.0,0.0,[-1.4813947677612305],Juniperberry oil,[],[],0.0,0.0,[-1.4813947677612305]
"San Marino (2A)H,","San Marino (2A)H,","San Marino (2A)H wird ins Deutsche wie folgt übersetzt:

San Marino (2A)H 

Da es aber anscheinend ein Amateurfunkrufzeichen ist, könnte man es auch wie folgt übersetzen:

San Marino (2A)H - keine direkte Übersetzung, aber Beschreibung: 
Rufzeichen aus San Marino, wobei ""2A"" den Ländercode und ""H"" den spezifischen Benutzer oder die Station angibt.

Eine direkte Übersetzung des Textes ist nicht notwendig, da es sich um ein internationales Rufzeichen handelt, das in der Regel unverändert bleibt.","San Marino (2A)H,",[],0.047406589870478744,0.29974489795918374,[-1.5681123733520508],"San Marino (2A)H,",[],[],0.047406589870478744,0.29974489795918374,[-1.5681123733520508]
"conventional two-stroke engines with a ceramic catalyst of the same active material and loading, and the same number of cells per cm2,",Herkömmliche Zweitaktmotoren mit einem Keramikkatalysator mit dem gleichen aktiven Material und Füllstoff und der gleichen Anzahl von Zellen je cm2,"Konventionelle Zweitaktmotoren mit einem Keramik-Katalysator aus demselben aktiven Material und der gleichen Beladung und der gleichen Anzahl an Zellen pro cm². 

Alternatively, a more formal translation in a technical context could be:

Konventionelle Zweitaktmotoren mit einem Keramikkatalysator gleichen aktiven Materials und gleicher Beladung sowie gleicher Zelldichte (Zellen pro cm²).","conventional two-stroke engines with a ceramic catalyst of the same active <Legal cat=""Legal Theory & Latin Terms"">material</Legal> and loading, and the same number of cells <Legal cat=""Property & Real Estate Law"">per</Legal> cm2,","['material (Legal Theory & Latin Terms)', 'per (Property & Real Estate Law)']",0.1113867982662075,0.3572514112027789,[-0.5557135939598083],"conventional two-stroke engines with a ceramic catalyst of the same active <Legal cat=""Legal Theory & Latin Terms"">material</Legal> and loading, and the same number of cells <Legal cat=""Property & Real Estate Law"">per</Legal> cm2,","['material (Legal Theory & Latin Terms)', 'per (Property & Real Estate Law)']","['material: Material means important information, generally significant enough to determine an issue. It can be used in the following contexts:', 'per: Per is synonymous with through, by, or according to ( p er the terms of the lease , the tenant paid the landlord every month). Per may also mean for each/every (the speed limit is 30 miles per hour).']",0.1113867982662075,0.3572514112027789,[-0.5557135939598083]
